name,id,nametype,type,class,group,mass (g),fall,year,reclat,reclong,GeoLocation
"Derrick Peak 88018,6669,Valid,Iron,Achondrites,""Iron, IIAB"",4000,Found,1988-01-01,-80.06667,156.38333,""(-80.066670, 156.383330)"""
"Derrick Peak 88019,6670,Valid,Iron,Achondrites,""Iron, IIAB"",1700,Found,1988-01-01,-80.06667,156.38333,""(-80.066670, 156.383330)"""
"Derrick Peak 88020,6671,Valid,Iron,Achondrites,""Iron, IIAB"",416,Found,1988-01-01,-80.06667,156.38333,""(-80.066670, 156.383330)"""
"Derrick Peak 88021,6672,Valid,Iron,Achondrites,""Iron, IIAB"",662,Found,1988-01-01,-80.06667,156.38333,""(-80.066670, 156.383330)"""
"Derrick Peak 88022,6673,Valid,Iron,Achondrites,""Iron, IIAB"",110,Found,1988-01-01,-80.06667,156.38333,""(-80.066670, 156.383330)"""
"Derrick Peak 88023,6674,Valid,Iron,Achondrites,""Iron, IIAB"",76,Found,1988-01-01,-80.06667,156.38333,""(-80.066670, 156.383330)"""
"Derrick Peak 88024,6675,Valid,Iron,Achondrites,""Iron, IIAB"",292,Found,1988-01-01,-80.06667,156.38333,""(-80.066670, 156.383330)"""
"Derrick Peak 88025,6676,Valid,Iron,Achondrites,""Iron, IIAB"",1797,Found,1988-01-01,-80.06667,156.38333,""(-80.066670, 156.383330)"""
"Derrick Peak A78001,6677,Valid,Iron,Achondrites,""Iron, IIAB"",15200,Found,1978-01-01,-80.06667,156.38333,""(-80.066670, 156.383330)"""
"Derrick Peak A78002,6678,Valid,Iron,Achondrites,""Iron, IIAB"",7188,Found,1978-01-01,-80.06667,156.38333,""(-80.066670, 156.383330)"""
"Derrick Peak A78003,6679,Valid,Iron,Achondrites,""Iron, IIAB"",144.2,Found,1978-01-01,-80.06667,156.38333,""(-80.066670, 156.383330)"""
"Derrick Peak A78004,6680,Valid,Iron,Achondrites,""Iron, IIAB"",133.6,Found,1978-01-01,-80.06667,156.38333,""(-80.066670, 156.383330)"""
"Derrick Peak A78005,6681,Valid,Iron,Achondrites,""Iron, IIAB"",18600,Found,1978-01-01,-80.06667,156.38333,""(-80.066670, 156.383330)"""
"Derrick Peak A78006,6682,Valid,Iron,Achondrites,""Iron, IIAB"",389.3,Found,1978-01-01,-80.06667,156.38333,""(-80.066670, 156.383330)"""
"Derrick Peak A78007,6683,Valid,Iron,Achondrites,""Iron, IIAB"",11800,Found,1978-01-01,-80.06667,156.38333,""(-80.066670, 156.383330)"""
"Derrick Peak A78008,6684,Valid,Iron,Achondrites,""Iron, IIAB"",59400,Found,1978-01-01,-80.06667,156.38333,""(-80.066670, 156.383330)"""
"Derrick Peak A78009,6685,Valid,Iron,Achondrites,""Iron, IIAB"",138100,Found,1978-01-01,-80.06667,156.38333,""(-80.066670, 156.383330)"""
"Derrick Peak A78010,6686,Valid,Iron,Achondrites,""Iron, IIAB"",,Found,1978-01-01,-80.06667,156.38333,""(-80.066670, 156.383330)"""
"Derrick Peak A78011,6687,Valid,Iron,Achondrites,""Iron, IIAB"",31800,Found,1978-01-01,-80.06667,156.38333,""(-80.066670, 156.383330)"""
"Derrick Peak A78012,6688,Valid,Iron,Achondrites,""Iron, IIAB"",26000,Found,1978-01-01,-80.06667,156.38333,""(-80.066670, 156.383330)"""
"Derrick Peak A78013,6689,Valid,Iron,Achondrites,""Iron, IIAB"",10600,Found,1978-01-01,-80.06667,156.38333,""(-80.066670, 156.383330)"""
"Derrick Peak A78014,6690,Valid,Iron,Achondrites,""Iron, IIAB"",2250,Found,1978-01-01,-80.06667,156.38333,""(-80.066670, 156.383330)"""
"Derrick Peak A78015,6691,Valid,Iron,Achondrites,""Iron, IIAB"",1260,Found,1978-01-01,-80.06667,156.38333,""(-80.066670, 156.383330)"""
"Derrick Peak A78016,6692,Valid,Iron,Achondrites,""Iron, IIAB"",750,Found,1978-01-01,-80.06667,156.38333,""(-80.066670, 156.383330)"""
"Bates Nunataks 00300,4958,Valid,Stony,Achondrites,Eucrite-unbr,124.6,Found,2000-01-01,-80.25,153.5,""(-80.250000, 153.500000)"""
"Bates Nunataks 00301,4959,Valid,Stony,Ordinary,H3.3,33.8,Found,2000-01-01,-80.25,153.5,""(-80.250000, 153.500000)"""
"Bates Nunataks 00302,4960,Valid,Stony,Ordinary,H3.3,37.1,Found,2000-01-01,-80.25,153.5,""(-80.250000, 153.500000)"""
"Bates Nunataks 00303,4961,Valid,Stony,Ordinary,H3.3,15.8,Found,2000-01-01,-80.25,153.5,""(-80.250000, 153.500000)"""
"Bates Nunataks 00304,4962,Valid,Stony,Ordinary,L6,709,Found,2000-01-01,-80.25,153.5,""(-80.250000, 153.500000)"""
"Bates Nunataks 00305,4963,Valid,Stony,Ordinary,H5,316.4,Found,2000-01-01,-80.25,153.5,""(-80.250000, 153.500000)"""
"Bates Nunataks 00306,4964,Valid,Stony,Ordinary,L5,66.95,Found,2000-01-01,-80.25,153.5,""(-80.250000, 153.500000)"""
"Bates Nunataks 00307,4965,Valid,Stony,Ordinary,H6,130.05,Found,2000-01-01,-80.25,153.5,""(-80.250000, 153.500000)"""
"Bates Nunataks 00308,4966,Valid,Stony,Ordinary,L5,10.7,Found,2000-01-01,-80.25,153.5,""(-80.250000, 153.500000)"""
"Bates Nunataks 00309,4967,Valid,Stony,Ordinary,L5,24.1,Found,2000-01-01,-80.25,153.5,""(-80.250000, 153.500000)"""
"Bates Nunataks 00310,4968,Valid,Stony,Ordinary,LL6,20.61,Found,2000-01-01,-80.25,153.5,""(-80.250000, 153.500000)"""
"Bates Nunataks A78001,4969,Valid,Stony,Ordinary,L6,160.7,Found,1978-01-01,-80.25,153.5,""(-80.250000, 153.500000)"""
"Bates Nunataks A78002,4970,Valid,Stony,Ordinary,L6,4301,Found,1978-01-01,-80.25,153.5,""(-80.250000, 153.500000)"""
"Bates Nunataks A78004,4971,Valid,Stony,Ordinary,LL6,1079,Found,1978-01-01,-80.25,153.5,""(-80.250000, 153.500000)"""
"Bates Nunataks A78005,4972,Valid,Stony,Ordinary,H6,81.8,Found,1978-01-01,-80.25,153.5,""(-80.250000, 153.500000)"""
"Lonewolf Nunataks 94100,14684,Valid,Stony,Enstatite,EL6,1947.1,Found,1994-01-01,-81.33333,152.83333,""(-81.333330, 152.833330)"""
"Lonewolf Nunataks 94101,14685,Valid,Stony,Carbonaceous,CM2,2804.6,Found,1994-01-01,-81.33333,152.83333,""(-81.333330, 152.833330)"""
"Lonewolf Nunataks 94102,14686,Valid,Stony,Carbonaceous,CM2,941.6,Found,1994-01-01,-81.33333,152.83333,""(-81.333330, 152.833330)"""
"Lonewolf Nunataks 94103,14687,Valid,Stony,Ordinary,L6,9000,Found,1994-01-01,-81.33333,152.83333,""(-81.333330, 152.833330)"""
"Lonewolf Nunataks 94104,14688,Valid,Stony,Ordinary,H6,10172,Found,1994-01-01,-81.33333,152.83333,""(-81.333330, 152.833330)"""
"Lonewolf Nunataks 94105,14689,Valid,Stony,Ordinary,L6,5086.1,Found,1994-01-01,-81.33333,152.83333,""(-81.333330, 152.833330)"""
"Lonewolf Nunataks 94106,14690,Valid,Stony,Ordinary,L6,1554,Found,1994-01-01,-81.33333,152.83333,""(-81.333330, 152.833330)"""
"Lonewolf Nunataks 94107,14691,Valid,Stony,Ordinary,L6,546.9,Found,1994-01-01,-81.33333,152.83333,""(-81.333330, 152.833330)"""
"Lonewolf Nunataks 94108,14692,Valid,Stony,Ordinary,L6,229.4,Found,1994-01-01,-81.33333,152.83333,""(-81.333330, 152.833330)"""
"Lonewolf Nunataks 94109,14693,Valid,Stony,Ordinary,L6,141.9,Found,1994-01-01,-81.33333,152.83333,""(-81.333330, 152.833330)"""
"Geologists Range 99100,10874,Valid,Stony,Ordinary,H5,979.5,Found,1999-01-01,-82.5,155.5,""(-82.500000, 155.500000)"""
"Geologists Range 99101,10875,Valid,Stony,Ordinary,H4,383.9,Found,1999-01-01,-82.5,155.5,""(-82.500000, 155.500000)"""
"Geologists Range 99102,10876,Valid,Stony,Ordinary,H4,340.6,Found,1999-01-01,-82.5,155.5,""(-82.500000, 155.500000)"""
"Geologists Range 99103,10877,Valid,Stony,Ordinary,H4-6,119.3,Found,1999-01-01,-82.5,155.5,""(-82.500000, 155.500000)"""
"Geologists Range 99104,10878,Valid,Stony,Ordinary,L6,100.7,Found,1999-01-01,-82.5,155.5,""(-82.500000, 155.500000)"""
"Geologists Range 99105,10879,Valid,Stony,Ordinary,L6,51.9,Found,1999-01-01,-82.5,155.5,""(-82.500000, 155.500000)"""
"Geologists Range 99106,10880,Valid,Stony,Ordinary,H5,62.8,Found,1999-01-01,-82.5,155.5,""(-82.500000, 155.500000)"""
"Geologists Range 99107,10881,Valid,Stony,Ordinary,L5,50.6,Found,1999-01-01,-82.5,155.5,""(-82.500000, 155.500000)"""
"Geologists Range 99108,10882,Valid,Stony,Ordinary,H5,89.2,Found,1999-01-01,-82.5,155.5,""(-82.500000, 155.500000)"""
"Geologists Range 99109,10883,Valid,Stony,Ordinary,H4,129.3,Found,1999-01-01,-82.5,155.5,""(-82.500000, 155.500000)"""
"Geologists Range 99110,10884,Valid,Stony,Ordinary,L6,18.5,Found,1999-01-01,-82.5,155.5,""(-82.500000, 155.500000)"""
"Geologists Range 99111,10885,Valid,Stony,Ordinary,H5,12.4,Found,1999-01-01,-82.5,155.5,""(-82.500000, 155.500000)"""
"Geologists Range 99112,10886,Valid,Stony,Ordinary,L6,39.6,Found,1999-01-01,-82.5,155.5,""(-82.500000, 155.500000)"""
"Geologists Range 99113,10887,Valid,Stony,Ordinary,L6,34.8,Found,1999-01-01,-82.5,155.5,""(-82.500000, 155.500000)"""
"Geologists Range 99114,10888,Valid,Stony,Ordinary,L6,39.9,Found,1999-01-01,-82.5,155.5,""(-82.500000, 155.500000)"""
"Geologists Range 99115,10889,Valid,Stony,Ordinary,H6,8.9,Found,1999-01-01,-82.5,155.5,""(-82.500000, 155.500000)"""
"Geologists Range 99116,10890,Valid,Stony,Ordinary,H6,11.4,Found,1999-01-01,-82.5,155.5,""(-82.500000, 155.500000)"""
"Geologists Range 99117,10891,Valid,Stony,Ordinary,L6,4.4,Found,1999-01-01,-82.5,155.5,""(-82.500000, 155.500000)"""
"Geologists Range 99118,10892,Valid,Stony,Ordinary,H6,1.1,Found,1999-01-01,-82.5,155.5,""(-82.500000, 155.500000)"""
"Geologists Range 99119,10893,Valid,Stony,Ordinary,H6,11.4,Found,1999-01-01,-82.5,155.5,""(-82.500000, 155.500000)"""
"Geologists Range 99120,10894,Valid,Stony,Achondrites,Howardite,0.5,Found,1999-01-01,-82.5,155.5,""(-82.500000, 155.500000)"""
"Geologists Range 99121,10895,Valid,Stony,Ordinary,H6,3.6,Found,1999-01-01,-82.5,155.5,""(-82.500000, 155.500000)"""
"Geologists Range 99122,10896,Valid,Stony,Ordinary,L6,0.9,Found,1999-01-01,-82.5,155.5,""(-82.500000, 155.500000)"""
"Geologists Range 99123,10897,Valid,Stony,Ordinary,H6,2.6,Found,1999-01-01,-82.5,155.5,""(-82.500000, 155.500000)"""
"Geologists Range 99124,10898,Valid,Stony,Ordinary,H6,3.2,Found,1999-01-01,-82.5,155.5,""(-82.500000, 155.500000)"""
"Geologists Range 99125,10899,Valid,Stony,Ordinary,L6,2.7,Found,1999-01-01,-82.5,155.5,""(-82.500000, 155.500000)"""
"Geologists Range 99126,10900,Valid,Stony,Ordinary,L6,0.3,Found,1999-01-01,-82.5,155.5,""(-82.500000, 155.500000)"""
"Geologists Range 99127,10901,Valid,Stony,Ordinary,H6,0.4,Found,1999-01-01,-82.5,155.5,""(-82.500000, 155.500000)"""
"Geologists Range 99128,10902,Valid,Stony,Ordinary,L6,5.2,Found,1999-01-01,-82.5,155.5,""(-82.500000, 155.500000)"""
"Geologists Range 99129,10903,Valid,Stony,Ordinary,L6,579.9,Found,1999-01-01,-82.5,155.5,""(-82.500000, 155.500000)"""
"Geologists Range 85700,10872,Valid,Stony,Ordinary,L6,2409,Found,1985-01-01,-82.5,155.5,""(-82.500000, 155.500000)"""
"Geologists Range 85701,10873,Valid,Stony,Ordinary,L6,438.6,Found,1985-01-01,-82.5,155.5,""(-82.500000, 155.500000)"""
"Miller Range 03346,16651,Valid,Stony,Achondrites,Martian (nakhlite),715.2,Found,2003-01-01,-83.25,157,""(-83.250000, 157.000000)"""
"Miller Range 03356,16652,Valid,Iron,Achondrites,""Iron, IVA"",443.5,Found,2003-01-01,-83.25,157,""(-83.250000, 157.000000)"""
"Miller Range 03369,16654,Valid,Iron,Primitive Achondrites,""Iron, IAB complex"",119.96,Found,2003-01-01,-83.25,157,""(-83.250000, 157.000000)"""
"Bowden Névé 85800,5123,Valid,Stony,Ordinary,H6,140.6,Found,1985-01-01,-83.5,165,""(-83.500000, 165.000000)"""
"MacAlpine Hills 02460,14775,Valid,Stony,Ordinary,LL6,54.2,Found,2002-01-01,-84.21667,160.5,""(-84.216670, 160.500000)"""
"MacAlpine Hills 02472,14784,Valid,Stony,Ordinary,L5,2.57,Found,2002-01-01,-84.21667,160.5,""(-84.216670, 160.500000)"""
"MacAlpine Hills 02474,14785,Valid,Stony,Ordinary,H6,3.12,Found,2002-01-01,-84.21667,160.5,""(-84.216670, 160.500000)"""
"MacAlpine Hills 02475,14786,Valid,Stony,Ordinary,H5,6.63,Found,2002-01-01,-84.21667,160.5,""(-84.216670, 160.500000)"""
"MacAlpine Hills 02476,14787,Valid,Stony,Ordinary,H5,6.8,Found,2002-01-01,-84.21667,160.5,""(-84.216670, 160.500000)"""
"MacAlpine Hills 02477,14788,Valid,Stony,Ordinary,H5,5.85,Found,2002-01-01,-84.21667,160.5,""(-84.216670, 160.500000)"""
"MacAlpine Hills 02478,14789,Valid,Stony,Ordinary,H5,8.78,Found,2002-01-01,-84.21667,160.5,""(-84.216670, 160.500000)"""
"MacAlpine Hills 02479,14790,Valid,Stony,Ordinary,H6,0.38,Found,2002-01-01,-84.21667,160.5,""(-84.216670, 160.500000)"""
"MacAlpine Hills 02480,14791,Valid,Stony,Ordinary,H5,1.76,Found,2002-01-01,-84.21667,160.5,""(-84.216670, 160.500000)"""
"MacAlpine Hills 02481,14792,Valid,Stony,Ordinary,H6,1.04,Found,2002-01-01,-84.21667,160.5,""(-84.216670, 160.500000)"""
"MacAlpine Hills 02482,14793,Valid,Stony,Ordinary,H5,2.53,Found,2002-01-01,-84.21667,160.5,""(-84.216670, 160.500000)"""
"MacAlpine Hills 02483,14794,Valid,Stony,Ordinary,H4,0.59,Found,2002-01-01,-84.21667,160.5,""(-84.216670, 160.500000)"""
"MacAlpine Hills 02485,14795,Valid,Stony,Ordinary,H5,4.03,Found,2002-01-01,-84.21667,160.5,""(-84.216670, 160.500000)"""
"MacAlpine Hills 02486,14796,Valid,Stony,Ordinary,L4,10.48,Found,2002-01-01,-84.21667,160.5,""(-84.216670, 160.500000)"""
"MacAlpine Hills 02487,14797,Valid,Stony,Ordinary,H5,17.56,Found,2002-01-01,-84.21667,160.5,""(-84.216670, 160.500000)"""
"MacAlpine Hills 02488,14798,Valid,Stony,Ordinary,L6,20.86,Found,2002-01-01,-84.21667,160.5,""(-84.216670, 160.500000)"""
"MacAlpine Hills 02489,14799,Valid,Stony,Ordinary,H5,6.02,Found,2002-01-01,-84.21667,160.5,""(-84.216670, 160.500000)"""
"MacAlpine Hills 02497,14807,Valid,Stony,Ordinary,L5,13.7,Found,2002-01-01,-84.21667,160.5,""(-84.216670, 160.500000)"""
"MacAlpine Hills 02520,14829,Valid,Stony,Ordinary,H6,9.46,Found,2002-01-01,-84.21667,160.5,""(-84.216670, 160.500000)"""
"MacAlpine Hills 02522,14830,Valid,Stony,Achondrites,Eucrite-unbr,5.7,Found,2002-01-01,-84.21667,160.5,""(-84.216670, 160.500000)"""
"MacAlpine Hills 02523,14831,Valid,Stony,Ordinary,LL5,3.54,Found,2002-01-01,-84.21667,160.5,""(-84.216670, 160.500000)"""
"MacAlpine Hills 02524,14832,Valid,Stony,Ordinary,H6,2.38,Found,2002-01-01,-84.21667,160.5,""(-84.216670, 160.500000)"""
"MacAlpine Hills 02525,14833,Valid,Stony,Ordinary,H6,0.24,Found,2002-01-01,-84.21667,160.5,""(-84.216670, 160.500000)"""
"MacAlpine Hills 02526,14834,Valid,Stony,Ordinary,LL6,0.22,Found,2002-01-01,-84.21667,160.5,""(-84.216670, 160.500000)"""
"MacAlpine Hills 02527,14835,Valid,Stony,Achondrites,Eucrite-br,3.7,Found,2002-01-01,-84.21667,160.5,""(-84.216670, 160.500000)"""
"MacAlpine Hills 02528,14836,Valid,Stony,Carbonaceous,CV3,5.61,Found,2002-01-01,-84.21667,160.5,""(-84.216670, 160.500000)"""
"MacAlpine Hills 02529,14837,Valid,Stony,Ordinary,H6,3.02,Found,2002-01-01,-84.21667,160.5,""(-84.216670, 160.500000)"""
"MacAlpine Hills 02530,14838,Valid,Stony,Ordinary,L5,4.3,Found,2002-01-01,-84.21667,160.5,""(-84.216670, 160.500000)"""
"MacAlpine Hills 02532,14839,Valid,Stony,Ordinary,H6,0.2,Found,2002-01-01,-84.21667,160.5,""(-84.216670, 160.500000)"""
"MacAlpine Hills 02533,14840,Valid,Stony,Ordinary,L5,0.6,Found,2002-01-01,-84.21667,160.5,""(-84.216670, 160.500000)"""
"MacAlpine Hills 02534,14841,Valid,Stony,Ordinary,L5,1.1,Found,2002-01-01,-84.21667,160.5,""(-84.216670, 160.500000)"""
"MacAlpine Hills 02535,14842,Valid,Stony,Carbonaceous,CM2,14.4,Found,2002-01-01,-84.21667,160.5,""(-84.216670, 160.500000)"""
"MacAlpine Hills 02536,14843,Valid,Stony,Ordinary,L5,1.2,Found,2002-01-01,-84.21667,160.5,""(-84.216670, 160.500000)"""
"MacAlpine Hills 02538,14844,Valid,Stony,Ordinary,L5,54.5,Found,2002-01-01,-84.21667,160.5,""(-84.216670, 160.500000)"""
"MacAlpine Hills 02539,14845,Valid,Stony,Ordinary,LL6,96.6,Found,2002-01-01,-84.21667,160.5,""(-84.216670, 160.500000)"""
"MacAlpine Hills 02550,14856,Valid,Stony,Ordinary,H6,7.6,Found,2002-01-01,-84.21667,160.5,""(-84.216670, 160.500000)"""
"MacAlpine Hills 02551,14857,Valid,Stony,Ordinary,LL5,6.7,Found,2002-01-01,-84.21667,160.5,""(-84.216670, 160.500000)"""
"MacAlpine Hills 02552,14858,Valid,Stony,Carbonaceous,CM2,0.3,Found,2002-01-01,-84.21667,160.5,""(-84.216670, 160.500000)"""
"MacAlpine Hills 02554,14859,Valid,Stony,Ordinary,H6,0.2,Found,2002-01-01,-84.21667,160.5,""(-84.216670, 160.500000)"""
"MacAlpine Hills 02555,14860,Valid,Stony,Ordinary,H5,1.7,Found,2002-01-01,-84.21667,160.5,""(-84.216670, 160.500000)"""
"MacAlpine Hills 02556,14861,Valid,Stony,Enstatite,E3,1.41,Found,2002-01-01,-84.21667,160.5,""(-84.216670, 160.500000)"""
"MacAlpine Hills 02557,14862,Valid,Stony,Ordinary,H6,1.5,Found,2002-01-01,-84.21667,160.5,""(-84.216670, 160.500000)"""
"MacAlpine Hills 02559,14863,Valid,Stony,Ordinary,L5,0.9,Found,2002-01-01,-84.21667,160.5,""(-84.216670, 160.500000)"""
"MacAlpine Hills 02603,14903,Valid,Stony,Ordinary,H5,3.1,Found,2002-01-01,-84.21667,160.5,""(-84.216670, 160.500000)"""
"MacAlpine Hills 02604,14904,Valid,Stony,Ordinary,H6,32.9,Found,2002-01-01,-84.21667,160.5,""(-84.216670, 160.500000)"""
"MacAlpine Hills 02605,14905,Valid,Stony,Ordinary,H6,34.4,Found,2002-01-01,-84.21667,160.5,""(-84.216670, 160.500000)"""
"MacAlpine Hills 02606,14906,Valid,Stony,Carbonaceous,CM2,7.2,Found,2002-01-01,-84.21667,160.5,""(-84.216670, 160.500000)"""
"MacAlpine Hills 02607,14907,Valid,Stony,Ordinary,H5,6.4,Found,2002-01-01,-84.21667,160.5,""(-84.216670, 160.500000)"""
"MacAlpine Hills 02608,14908,Valid,Stony,Ordinary,H6,29.7,Found,2002-01-01,-84.21667,160.5,""(-84.216670, 160.500000)"""
"MacAlpine Hills 02610,14909,Valid,Stony,Ordinary,H5,2.6,Found,2002-01-01,-84.21667,160.5,""(-84.216670, 160.500000)"""
"MacAlpine Hills 02611,14910,Valid,Stony,Ordinary,H5,7.79,Found,2002-01-01,-84.21667,160.5,""(-84.216670, 160.500000)"""
"MacAlpine Hills 02612,14911,Valid,Stony,Ordinary,H5,19.03,Found,2002-01-01,-84.21667,160.5,""(-84.216670, 160.500000)"""
"MacAlpine Hills 02613,14912,Valid,Stony,Ordinary,LL5,1.37,Found,2002-01-01,-84.21667,160.5,""(-84.216670, 160.500000)"""
"MacAlpine Hills 02614,14913,Valid,Stony,Ordinary,H5,5.88,Found,2002-01-01,-84.21667,160.5,""(-84.216670, 160.500000)"""
"MacAlpine Hills 02616,14914,Valid,Stony,Ordinary,H5,7.25,Found,2002-01-01,-84.21667,160.5,""(-84.216670, 160.500000)"""
"MacAlpine Hills 02617,14915,Valid,Stony,Ordinary,H6,5.31,Found,2002-01-01,-84.21667,160.5,""(-84.216670, 160.500000)"""
"MacAlpine Hills 02618,14916,Valid,Stony,Ordinary,H5,3.98,Found,2002-01-01,-84.21667,160.5,""(-84.216670, 160.500000)"""
"MacAlpine Hills 02619,14917,Valid,Stony,Ordinary,L4,8.06,Found,2002-01-01,-84.21667,160.5,""(-84.216670, 160.500000)"""
"MacAlpine Hills 02630,14928,Valid,Stony,Ordinary,H5,133.4,Found,2002-01-01,-84.21667,160.5,""(-84.216670, 160.500000)"""
"MacAlpine Hills 02631,14929,Valid,Stony,Ordinary,H6,74.8,Found,2002-01-01,-84.21667,160.5,""(-84.216670, 160.500000)"""
"MacAlpine Hills 02632,14930,Valid,Stony,Ordinary,H6,102.9,Found,2002-01-01,-84.21667,160.5,""(-84.216670, 160.500000)"""
"MacAlpine Hills 02633,14931,Valid,Stony,Ordinary,H5,29.5,Found,2002-01-01,-84.21667,160.5,""(-84.216670, 160.500000)"""
"MacAlpine Hills 02634,14932,Valid,Stony,Ordinary,L5,12.3,Found,2002-01-01,-84.21667,160.5,""(-84.216670, 160.500000)"""
"MacAlpine Hills 02635,14933,Valid,Stony,Enstatite,EL3,17.9,Found,2002-01-01,-84.21667,160.5,""(-84.216670, 160.500000)"""
"MacAlpine Hills 02636,14934,Valid,Stony,Ordinary,H5,45.5,Found,2002-01-01,-84.21667,160.5,""(-84.216670, 160.500000)"""
"MacAlpine Hills 02637,14935,Valid,Stony,Ordinary,H5,14,Found,2002-01-01,-84.21667,160.5,""(-84.216670, 160.500000)"""
"MacAlpine Hills 02638,14936,Valid,Stony,Ordinary,H6,6.8,Found,2002-01-01,-84.21667,160.5,""(-84.216670, 160.500000)"""
"MacAlpine Hills 02639,14937,Valid,Stony,Ordinary,H5,4.7,Found,2002-01-01,-84.21667,160.5,""(-84.216670, 160.500000)"""
"MacAlpine Hills 02641,14938,Valid,Stony,Ordinary,H5,2.58,Found,2002-01-01,-84.21667,160.5,""(-84.216670, 160.500000)"""
"MacAlpine Hills 02642,14939,Valid,Stony,Ordinary,L5,1.78,Found,2002-01-01,-84.21667,160.5,""(-84.216670, 160.500000)"""
"MacAlpine Hills 02643,14940,Valid,Stony,Ordinary,H5,9.59,Found,2002-01-01,-84.21667,160.5,""(-84.216670, 160.500000)"""
"MacAlpine Hills 02644,14941,Valid,Stony,Ordinary,H5,23.27,Found,2002-01-01,-84.21667,160.5,""(-84.216670, 160.500000)"""
"MacAlpine Hills 02645,14942,Valid,Stony,Ordinary,H5,3.18,Found,2002-01-01,-84.21667,160.5,""(-84.216670, 160.500000)"""
"MacAlpine Hills 02646,14943,Valid,Stony,Ordinary,H6,7.63,Found,2002-01-01,-84.21667,160.5,""(-84.216670, 160.500000)"""
"MacAlpine Hills 02647,14944,Valid,Stony,Ordinary,H6,2.59,Found,2002-01-01,-84.21667,160.5,""(-84.216670, 160.500000)"""
"MacAlpine Hills 02648,14945,Valid,Stony,Ordinary,H5,5.15,Found,2002-01-01,-84.21667,160.5,""(-84.216670, 160.500000)"""
"MacAlpine Hills 02649,14946,Valid,Stony,Ordinary,H6,0.2,Found,2002-01-01,-84.21667,160.5,""(-84.216670, 160.500000)"""
"MacAlpine Hills 02650,14947,Valid,Stony,Ordinary,H5,0.36,Found,2002-01-01,-84.21667,160.5,""(-84.216670, 160.500000)"""
"MacAlpine Hills 02651,14948,Valid,Stony,Ordinary,H6,0.36,Found,2002-01-01,-84.21667,160.5,""(-84.216670, 160.500000)"""
"MacAlpine Hills 02652,14949,Valid,Stony,Ordinary,H6,0.55,Found,2002-01-01,-84.21667,160.5,""(-84.216670, 160.500000)"""
"MacAlpine Hills 02653,14950,Valid,Stony,Ordinary,H6,0.21,Found,2002-01-01,-84.21667,160.5,""(-84.216670, 160.500000)"""
"MacAlpine Hills 02654,14951,Valid,Stony,Ordinary,H6,0.24,Found,2002-01-01,-84.21667,160.5,""(-84.216670, 160.500000)"""
"MacAlpine Hills 02655,14952,Valid,Stony,Ordinary,H6,0.6,Found,2002-01-01,-84.21667,160.5,""(-84.216670, 160.500000)"""
"MacAlpine Hills 02656,14953,Valid,Stony,Ordinary,H5,0.48,Found,2002-01-01,-84.21667,160.5,""(-84.216670, 160.500000)"""
"MacAlpine Hills 02657,14954,Valid,Stony,Ordinary,H4,0.45,Found,2002-01-01,-84.21667,160.5,""(-84.216670, 160.500000)"""
"MacAlpine Hills 02658,14955,Valid,Stony,Carbonaceous,CM2,1.27,Found,2002-01-01,-84.21667,160.5,""(-84.216670, 160.500000)"""
"MacAlpine Hills 02659,14956,Valid,Stony,Ordinary,LL5,1.02,Found,2002-01-01,-84.21667,160.5,""(-84.216670, 160.500000)"""
"MacAlpine Hills 02666,14963,Valid,Stony,Achondrites,Howardite,20.3,Found,2002-01-01,-84.21667,160.5,""(-84.216670, 160.500000)"""
"MacAlpine Hills 02667,14964,Valid,Stony,Ordinary,LL6,7.5,Found,2002-01-01,-84.21667,160.5,""(-84.216670, 160.500000)"""
"MacAlpine Hills 02680,14977,Valid,Stony,Ordinary,LL5,10.49,Found,2002-01-01,-84.21667,160.5,""(-84.216670, 160.500000)"""
"MacAlpine Hills 02681,14978,Valid,Stony,Ordinary,H5,3.8,Found,2002-01-01,-84.21667,160.5,""(-84.216670, 160.500000)"""
"MacAlpine Hills 02682,14979,Valid,Stony,Ordinary,LL5,3.4,Found,2002-01-01,-84.21667,160.5,""(-84.216670, 160.500000)"""
"MacAlpine Hills 02683,14980,Valid,Stony,Ordinary,LL5,9.92,Found,2002-01-01,-84.21667,160.5,""(-84.216670, 160.500000)"""
"MacAlpine Hills 02684,14981,Valid,Stony,Ordinary,L5,1.81,Found,2002-01-01,-84.21667,160.5,""(-84.216670, 160.500000)"""
"MacAlpine Hills 02685,14982,Valid,Stony,Ordinary,H5,2.36,Found,2002-01-01,-84.21667,160.5,""(-84.216670, 160.500000)"""
"MacAlpine Hills 02686,14983,Valid,Stony,Ordinary,L5,0.18,Found,2002-01-01,-84.21667,160.5,""(-84.216670, 160.500000)"""
"MacAlpine Hills 02687,14984,Valid,Stony,Ordinary,H5,14.15,Found,2002-01-01,-84.21667,160.5,""(-84.216670, 160.500000)"""
"MacAlpine Hills 02688,14985,Valid,Stony,Ordinary,H5,0.77,Found,2002-01-01,-84.21667,160.5,""(-84.216670, 160.500000)"""
"MacAlpine Hills 02689,14986,Valid,Stony,Ordinary,L5,0.11,Found,2002-01-01,-84.21667,160.5,""(-84.216670, 160.500000)"""
"MacAlpine Hills 02690,14987,Valid,Stony,Ordinary,L6,0.38,Found,2002-01-01,-84.21667,160.5,""(-84.216670, 160.500000)"""
